entry_id,co2_ppm,ch4_ppm,created_at,fecha
1,436,432.18759,2025-08-10T17:01:24-05:00,2025-08-10
2,422,418.125,2025-08-10T17:01:56-05:00,2025-08-10
3,430,426.56256,2025-08-10T17:02:25-05:00,2025-08-10
4,446,444.84384,2025-08-10T17:02:56-05:00,2025-08-10
5,445,440.62494,2025-08-10T17:03:26-05:00,2025-08-10
6,450,441.32812,2025-08-10T17:03:57-05:00,2025-08-10
7,431,423.04684,2025-08-10T17:04:27-05:00,2025-08-10
8,444,451.17184,2025-08-10T17:04:56-05:00,2025-08-10
9,484,479.29681,2025-08-10T17:05:31-05:00,2025-08-10
10,446,439.21878,2025-08-10T17:06:04-05:00,2025-08-10
11,457,453.98434,2025-08-10T17:06:37-05:00,2025-08-10
12,452,445.54678,2025-08-10T17:07:06-05:00,2025-08-10
13,437,432.18759,2025-08-10T17:07:35-05:00,2025-08-10
14,427,420.93753,2025-08-10T17:08:05-05:00,2025-08-10
15,418,413.90634,2025-08-10T17:09:09-05:00,2025-08-10
16,417,414.60928,2025-08-10T17:09:38-05:00,2025-08-10
17,428,423.04684,2025-08-10T17:10:36-05:00,2025-08-10
18,441,437.10947,2025-08-10T17:20:35-05:00,2025-08-10
19,424,420.23434,2025-08-10T17:22:43-05:00,2025-08-10
20,443,436.40628,2025-08-10T17:24:48-05:00,2025-08-10
21,425,420.23434,2025-08-10T17:29:12-05:00,2025-08-10
23,400,416.01566,2025-08-10T17:41:44-05:00,2025-08-10
24,473,472.96881,2025-08-10T17:44:40-05:00,2025-08-10
25,463,456.09369,2025-08-10T17:45:07-05:00,2025-08-10
26,443,437.81241,2025-08-10T17:45:40-05:00,2025-08-10
27,408,404.06241,2025-08-10T17:47:15-05:00,2025-08-10
28,411,406.87494,2025-08-10T17:47:47-05:00,2025-08-10
29,434,429.37509,2025-08-10T17:51:24-05:00,2025-08-10
30,445,440.62494,2025-08-10T17:56:02-05:00,2025-08-10
31,414,411.09381,2025-08-10T17:58:02-05:00,2025-08-10
33,565,569.99994,2025-08-10T18:04:10-05:00,2025-08-10
34,476,467.34375,2025-08-10T18:06:11-05:00,2025-08-10
35,466,462.42191,2025-08-10T18:08:10-05:00,2025-08-10
36,443,436.40628,2025-08-10T18:10:10-05:00,2025-08-10
37,480,470.15628,2025-08-10T18:12:10-05:00,2025-08-10
38,504,495.46875,2025-08-10T18:14:10-05:00,2025-08-10
39,1876,1942.49988,2025-08-10T18:18:10-05:00,2025-08-10
40,1920,1903.12512,2025-08-10T18:18:35-05:00,2025-08-10
41,1815,1829.29688,2025-08-10T18:18:59-05:00,2025-08-10
42,488,478.59384,2025-08-10T18:20:12-05:00,2025-08-10
43,464,453.28116,2025-08-10T18:20:37-05:00,2025-08-10
44,444,440.62494,2025-08-10T18:21:01-05:00,2025-08-10
45,465,451.87503,2025-08-10T18:22:22-05:00,2025-08-10
46,441,434.29694,2025-08-10T18:22:46-05:00,2025-08-10
47,431,430.07803,2025-08-10T18:23:10-05:00,2025-08-10
48,449,446.24997,2025-08-10T18:23:37-05:00,2025-08-10
49,449,444.84384,2025-08-10T18:23:58-05:00,2025-08-10
50,446,443.43747,2025-08-10T18:24:22-05:00,2025-08-10
51,445,439.92197,2025-08-10T18:24:50-05:00,2025-08-10
52,443,439.92197,2025-08-10T18:25:10-05:00,2025-08-10
53,436,430.07803,2025-08-10T18:25:35-05:00,2025-08-10
54,424,420.23434,2025-08-10T18:25:58-05:00,2025-08-10
55,423,417.42181,2025-08-10T18:26:22-05:00,2025-08-10
56,428,424.45322,2025-08-10T18:26:46-05:00,2025-08-10
57,430,425.85937,2025-08-10T18:27:13-05:00,2025-08-10
58,431,427.26575,2025-08-10T18:27:36-05:00,2025-08-10
59,426,421.64072,2025-08-10T18:27:58-05:00,2025-08-10
60,421,417.42181,2025-08-10T18:28:22-05:00,2025-08-10
61,433,432.18759,2025-08-10T18:28:47-05:00,2025-08-10
62,468,466.64056,2025-08-10T18:29:10-05:00,2025-08-10
63,518,519.37506,2025-08-10T18:29:34-05:00,2025-08-10
64,545,541.875,2025-08-10T18:29:59-05:00,2025-08-10
65,554,549.60937,2025-08-10T18:30:23-05:00,2025-08-10
66,559,555.93756,2025-08-10T18:30:47-05:00,2025-08-10
67,563,558.75012,2025-08-10T18:31:11-05:00,2025-08-10
68,566,560.85944,2025-08-10T18:31:35-05:00,2025-08-10
69,567,563.67194,2025-08-10T18:31:59-05:00,2025-08-10
70,568,565.07813,2025-08-10T18:32:23-05:00,2025-08-10
71,566,560.85944,2025-08-10T18:32:48-05:00,2025-08-10
72,566,562.26556,2025-08-10T18:33:11-05:00,2025-08-10
73,567,564.37494,2025-08-10T18:33:38-05:00,2025-08-10
74,573,571.40631,2025-08-10T18:33:59-05:00,2025-08-10
75,529,516.5625,2025-08-10T18:34:26-05:00,2025-08-10
76,486,478.59384,2025-08-10T18:34:47-05:00,2025-08-10
77,470,470.15628,2025-08-10T18:35:11-05:00,2025-08-10
78,485,482.8125,2025-08-10T18:35:35-05:00,2025-08-10
79,763,995.39069,2025-08-10T18:35:59-05:00,2025-08-10
80,700,669.84381,2025-08-10T18:36:24-05:00,2025-08-10
81,540,506.71881,2025-08-10T18:36:47-05:00,2025-08-10
82,457,451.17184,2025-08-10T18:37:12-05:00,2025-08-10
83,539,557.34375,2025-08-10T18:37:37-05:00,2025-08-10
84,634,605.15631,2025-08-10T18:38:04-05:00,2025-08-10
85,482,513.75,2025-08-10T18:38:23-05:00,2025-08-10
86,438,431.48441,2025-08-18T23:09:37-05:00,2025-08-18
87,436,432.18759,2025-08-18T23:10:01-05:00,2025-08-18
88,436,430.78122,2025-08-18T23:10:25-05:00,2025-08-18
89,437,432.18759,2025-08-18T23:10:49-05:00,2025-08-18
90,437,434.29694,2025-08-18T23:11:13-05:00,2025-08-18
91,514,527.10944,2025-08-18T23:11:39-05:00,2025-08-18
1629,493,466.64056,2025-08-19T14:45:48-05:00,2025-08-19
1630,408,401.95306,2025-08-19T14:46:36-05:00,2025-08-19
