entry_id,co2_ppm,ch4_ppm,created_at,tiempo_min
1971,4402,4399.21875,2025-08-20T13:43:31-05:00,0
1972,4394,4390.07813,2025-08-20T13:43:55-05:00,0.4
1973,4389,4385.15625,2025-08-20T13:44:19-05:00,0.8
1974,4388,4384.45312,2025-08-20T13:44:43-05:00,1.2
1975,4388,4383.04688,2025-08-20T13:45:07-05:00,1.6
1976,4386,4381.64062,2025-08-20T13:45:31-05:00,2
1977,4388,4384.45312,2025-08-20T13:45:55-05:00,2.4
1978,4384,4382.34375,2025-08-20T13:46:19-05:00,2.8
1979,4388,4384.45312,2025-08-20T13:46:43-05:00,3.2
1980,4390,4390.07813,2025-08-20T13:47:08-05:00,3.6166666666666667
1981,506,499.68762,2025-08-20T13:56:07-05:00,12.6
1982,502,496.87512,2025-08-20T13:56:31-05:00,13
1983,494,489.84369,2025-08-20T13:56:55-05:00,13.4
1984,488,483.51569,2025-08-20T13:57:19-05:00,13.8
1985,483,479.29681,2025-08-20T13:57:43-05:00,14.2
1986,480,475.78131,2025-08-20T13:58:07-05:00,14.6
1987,479,475.07812,2025-08-20T13:58:31-05:00,15
1988,478,472.96881,2025-08-20T13:58:55-05:00,15.4
1989,481,475.07812,2025-08-20T13:59:19-05:00,15.8
1990,483,479.29681,2025-08-20T13:59:43-05:00,16.2
1991,483,478.59384,2025-08-20T14:00:07-05:00,16.6
1992,483,477.89066,2025-08-20T14:00:32-05:00,17.016666666666666
1993,482,479.29681,2025-08-20T14:00:56-05:00,17.416666666666668
1994,480,475.07812,2025-08-20T14:01:20-05:00,17.816666666666666
1995,477,472.26562,2025-08-20T14:01:44-05:00,18.216666666666665
1996,474,470.85947,2025-08-20T14:02:08-05:00,18.616666666666667
1997,472,466.64056,2025-08-20T14:02:32-05:00,19.016666666666666
1998,471,465.23444,2025-08-20T14:02:56-05:00,19.416666666666668
1999,469,465.23444,2025-08-20T14:03:20-05:00,19.816666666666666
2000,467,461.01553,2025-08-20T14:03:44-05:00,20.216666666666665
2001,467,462.42191,2025-08-20T14:04:08-05:00,20.616666666666667
2002,467,461.01553,2025-08-20T14:04:32-05:00,21.016666666666666
2003,467,461.71872,2025-08-20T14:04:56-05:00,21.416666666666668
2004,467,461.71872,2025-08-20T14:05:20-05:00,21.816666666666666
2005,466,461.01553,2025-08-20T14:05:44-05:00,22.216666666666665
2006,467,462.42191,2025-08-20T14:06:08-05:00,22.616666666666667
2007,469,465.23444,2025-08-20T14:06:32-05:00,23.016666666666666
2008,469,464.53125,2025-08-20T14:06:56-05:00,23.416666666666668
2009,468,465.23444,2025-08-20T14:07:20-05:00,23.816666666666666
2010,468,464.53125,2025-08-20T14:07:44-05:00,24.216666666666665
2011,469,464.53125,2025-08-20T14:08:09-05:00,24.633333333333333
2012,470,464.53125,2025-08-20T14:08:33-05:00,25.033333333333335
2013,469,463.82806,2025-08-20T14:08:57-05:00,25.433333333333334
2014,471,468.04694,2025-08-20T14:09:21-05:00,25.833333333333332
2015,478,475.07812,2025-08-20T14:09:46-05:00,26.25
2016,486,483.51569,2025-08-20T14:10:09-05:00,26.633333333333333
2017,494,489.84369,2025-08-20T14:10:33-05:00,27.033333333333335
2018,495,491.95325,2025-08-20T14:10:57-05:00,27.433333333333334
2019,497,492.65622,2025-08-20T14:11:21-05:00,27.833333333333332
2020,498,495.46875,2025-08-20T14:11:45-05:00,28.233333333333334
2021,498,494.76556,2025-08-20T14:12:09-05:00,28.633333333333333
2022,498,495.46875,2025-08-20T14:12:33-05:00,29.033333333333335
2023,500,494.06259,2025-08-20T14:12:58-05:00,29.45
2024,502,497.57806,2025-08-20T14:13:21-05:00,29.833333333333332
2025,502,498.28125,2025-08-20T14:13:46-05:00,30.25
2026,501,496.87512,2025-08-20T14:14:10-05:00,30.65
2027,502,498.28125,2025-08-20T14:14:34-05:00,31.05
2028,503,496.87512,2025-08-20T14:14:58-05:00,31.45
2029,502,497.57806,2025-08-20T14:15:22-05:00,31.85
2030,502,498.28125,2025-08-20T14:15:46-05:00,32.25
2031,501,496.87512,2025-08-20T14:16:10-05:00,32.65
2032,503,496.87512,2025-08-20T14:17:25-05:00,33.9
2033,503,497.57806,2025-08-20T14:17:46-05:00,34.25
2034,503,498.28125,2025-08-20T14:18:11-05:00,34.666666666666664
2035,503,497.57806,2025-08-20T14:18:34-05:00,35.05
2036,505,501.09378,2025-08-20T14:18:58-05:00,35.45
2037,505,500.39059,2025-08-20T14:19:23-05:00,35.86666666666667
2038,505,500.39059,2025-08-20T14:19:47-05:00,36.266666666666666
2039,505,501.09378,2025-08-20T14:20:11-05:00,36.666666666666664
2040,504,499.68762,2025-08-20T14:20:35-05:00,37.06666666666667
2041,505,501.09378,2025-08-20T14:20:59-05:00,37.46666666666667
2042,506,500.39059,2025-08-20T14:21:23-05:00,37.86666666666667
2043,506,502.49991,2025-08-20T14:21:47-05:00,38.266666666666666
2044,507,503.20309,2025-08-20T14:22:11-05:00,38.666666666666664
2045,508,502.49991,2025-08-20T14:22:35-05:00,39.06666666666667
2046,507,502.49991,2025-08-20T14:22:59-05:00,39.46666666666667
2047,504,500.39059,2025-08-20T14:23:23-05:00,39.86666666666667
2048,504,496.87512,2025-08-20T14:23:47-05:00,40.266666666666666
2049,505,522.89075,2025-08-20T14:24:11-05:00,40.666666666666664
2050,3847,4091.25024,2025-08-20T14:24:35-05:00,41.06666666666667
2056,925,818.20306,2025-08-20T14:27:00-05:00,43.483333333333334
2057,603,588.98437,2025-08-20T14:27:24-05:00,43.88333333333333
2058,545,528.51556,2025-08-20T14:27:48-05:00,44.28333333333333
2059,507,496.87512,2025-08-20T14:28:12-05:00,44.68333333333333
2060,497,491.95325,2025-08-20T14:28:36-05:00,45.083333333333336
2061,493,485.62503,2025-08-20T14:29:00-05:00,45.483333333333334
2062,489,482.8125,2025-08-20T14:29:24-05:00,45.88333333333333
2063,493,494.76556,2025-08-20T14:29:48-05:00,46.28333333333333
2064,573,574.21881,2025-08-20T14:30:12-05:00,46.68333333333333
2065,580,574.21881,2025-08-20T14:30:36-05:00,47.083333333333336
2066,560,555.23438,2025-08-20T14:31:00-05:00,47.483333333333334
2067,559,554.53119,2025-08-20T14:31:25-05:00,47.9
2068,537,527.81262,2025-08-20T14:31:49-05:00,48.3
2069,509,502.49991,2025-08-20T14:32:12-05:00,48.68333333333333
2070,499,494.06259,2025-08-20T14:32:37-05:00,49.1
